Destination,Amount,Currency,Subrate
*Exceptional,12.75,EUR,1 meal (no destination)
*Exceptional,15.5,EUR,2+ Meals (no destination)
*Exceptional,18,EUR,Travel (no destination)
*Finland,51,EUR,Full day (over 10 hours)
*Finland,24,EUR,Partial day (over 6 hours)
*Finland,51,EUR,Final day (over 6 hours)
*Finland,24,EUR,Final day (over 2 hours)
*Finland,16,EUR,Night Travel supplement
*Finland,-24,EUR,1 meal
*Finland,-51,EUR,2+ Meals
Afghanistan,59,EUR,Full day (over 24 hours)
Afghanistan,59,EUR,Final day (over 10 hours)
Afghanistan,29.5,EUR,Final day (over 2 hours)
Afghanistan,-29.5,EUR,2+ Meals
Afghanistan,16,EUR,Night Travel supplement
Albania,81,EUR,Full day (over 24 hours)
Albania,81,EUR,Final day (over 10 hours)
Albania,40.5,EUR,Final day (over 2 hours)
Albania,-40.5,EUR,2+ Meals
Albania,16,EUR,Night Travel supplement
Algeria,78,EUR,Full day (over 24 hours)
Algeria,78,EUR,Final day (over 10 hours)
Algeria,39,EUR,Final day (over 2 hours)
Algeria,-39,EUR,2+ Meals
Algeria,16,EUR,Night Travel supplement
Andorra,63,EUR,Full day (over 24 hours)
Andorra,63,EUR,Final day (over 10 hours)
Andorra,31.5,EUR,Final day (over 2 hours)
Andorra,-31.5,EUR,2+ Meals
Andorra,16,EUR,Night Travel supplement
Angola,71,EUR,Full day (over 24 hours)
Angola,71,EUR,Final day (over 10 hours)
Angola,35.5,EUR,Final day (over 2 hours)
Angola,-35.5,EUR,2+ Meals
Angola,16,EUR,Night Travel supplement
Antiqua and Barbuda,94,EUR,Full day (over 24 hours)
Antiqua and Barbuda,94,EUR,Final day (over 10 hours)
Antiqua and Barbuda,47,EUR,Final day (over 2 hours)
Antiqua and Barbuda,-47,EUR,2+ Meals
Antiqua and Barbuda,16,EUR,Night Travel supplement
"Any other country, not specified above",52,EUR,Full day (over 24 hours)
"Any other country, not specified above",52,EUR,Final day (over 10 hours)
"Any other country, not specified above",26,EUR,Final day (over 2 hours)
"Any other country, not specified above",-26,EUR,2+ Meals
"Any other country, not specified above",16,EUR,Night Travel supplement
Argentina,38,EUR,Full day (over 24 hours)
Argentina,38,EUR,Final day (over 10 hours)
Argentina,19,EUR,Final day (over 2 hours)
Argentina,-19,EUR,2+ Meals
Argentina,16,EUR,Night Travel supplement
Armenia,61,EUR,Full day (over 24 hours)
Armenia,61,EUR,Final day (over 10 hours)
Armenia,30.5,EUR,Final day (over 2 hours)
Armenia,-30.5,EUR,2+ Meals
Armenia,16,EUR,Night Travel supplement
Aruba,70,EUR,Full day (over 24 hours)
Aruba,70,EUR,Final day (over 10 hours)
Aruba,35,EUR,Final day (over 2 hours)
Aruba,-35,EUR,2+ Meals
Aruba,16,EUR,Night Travel supplement
Australia,74,EUR,Full day (over 24 hours)
Australia,74,EUR,Final day (over 10 hours)
Australia,37,EUR,Final day (over 2 hours)
Australia,-37,EUR,2+ Meals
Australia,16,EUR,Night Travel supplement
Austria,80,EUR,Full day (over 24 hours)
Austria,80,EUR,Final day (over 10 hours)
Austria,40,EUR,Final day (over 2 hours)
Austria,-40,EUR,2+ Meals
Austria,16,EUR,Night Travel supplement
Azerbaidzhan,70,EUR,Full day (over 24 hours)
Azerbaidzhan,70,EUR,Final day (over 10 hours)
Azerbaidzhan,35,EUR,Final day (over 2 hours)
Azerbaidzhan,-35,EUR,2+ Meals
Azerbaidzhan,16,EUR,Night Travel supplement
Azores,69,EUR,Full day (over 24 hours)
Azores,69,EUR,Final day (over 10 hours)
Azores,34.5,EUR,Final day (over 2 hours)
Azores,-34.5,EUR,2+ Meals
Azores,16,EUR,Night Travel supplement
Bahamas,91,EUR,Full day (over 24 hours)
Bahamas,91,EUR,Final day (over 10 hours)
Bahamas,45.5,EUR,Final day (over 2 hours)
Bahamas,-45.5,EUR,2+ Meals
Bahamas,16,EUR,Night Travel supplement
Bahrain,80,EUR,Full day (over 24 hours)
Bahrain,80,EUR,Final day (over 10 hours)
Bahrain,40,EUR,Final day (over 2 hours)
Bahrain,-40,EUR,2+ Meals
