Destination,Currency,Subrate,Amount
Afghanistan,EUR,Full Day,30
Afghanistan,EUR,Part Day,20
Afghanistan,EUR,Overnight,95
Afghanistan,EUR,Breakfast,-6
Afghanistan,EUR,Lunch,-12
Afghanistan,EUR,Dinner,-12
Albania,EUR,Full Day,29
Albania,EUR,Part Day,20
Albania,EUR,Overnight,113
Albania,EUR,Breakfast,-5.8
Albania,EUR,Lunch,-11.6
Albania,EUR,Dinner,-11.6
Algeria,EUR,Full Day,51
Algeria,EUR,Part Day,34
Algeria,EUR,Overnight,173
Algeria,EUR,Breakfast,-10.2
Algeria,EUR,Lunch,-20.4
Algeria,EUR,Dinner,-20.4
Andorra,EUR,Full Day,34
Andorra,EUR,Part Day,23
Andorra,EUR,Overnight,45
Andorra,EUR,Breakfast,-6.8
Andorra,EUR,Lunch,-13.6
Andorra,EUR,Dinner,-13.6
Angola,EUR,Full Day,77
Angola,EUR,Part Day,52
Angola,EUR,Overnight,265
Angola,EUR,Breakfast,-15.4
Angola,EUR,Lunch,-30.8
Angola,EUR,Dinner,-30.8
Antigua and Barbuda,EUR,Full Day,45
Antigua and Barbuda,EUR,Part Day,30
Antigua and Barbuda,EUR,Overnight,177
Antigua and Barbuda,EUR,Breakfast,-9
Antigua and Barbuda,EUR,Lunch,-18
Antigua and Barbuda,EUR,Dinner,-18
Argentina,EUR,Full Day,34
Argentina,EUR,Part Day,23
Argentina,EUR,Overnight,144
Argentina,EUR,Breakfast,-6.8
Argentina,EUR,Lunch,-13.6
Argentina,EUR,Dinner,-13.6
Armenia,EUR,Full Day,23
Armenia,EUR,Part Day,16
Armenia,EUR,Overnight,63
Armenia,EUR,Breakfast,-4.6
Armenia,EUR,Lunch,-9.2
Armenia,EUR,Dinner,-9.2
Australia - Canberra,EUR,Full Day,51
Australia - Canberra,EUR,Part Day,34
Australia - Canberra,EUR,Overnight,158
Australia - Canberra,EUR,Breakfast,-10.2
Australia - Canberra,EUR,Lunch,-20.4
Australia - Canberra,EUR,Dinner,-20.4
Australia - Sydney,EUR,Full Day,68
Australia - Sydney,EUR,Part Day,45
Australia - Sydney,EUR,Overnight,184
Australia - Sydney,EUR,Breakfast,-13.6
Australia - Sydney,EUR,Lunch,-27.2
Australia - Sydney,EUR,Dinner,-27.2
Australia - for the rest,EUR,Full Day,51
Australia - for the rest,EUR,Part Day,34
Australia - for the rest,EUR,Overnight,158
Australia - for the rest,EUR,Breakfast,-10.2
Australia - for the rest,EUR,Lunch,-20.4
Australia - for the rest,EUR,Dinner,-20.4
Austria,EUR,Full Day,40
Austria,EUR,Part Day,27
Austria,EUR,Overnight,108
Austria,EUR,Breakfast,-8
Austria,EUR,Lunch,-16
Austria,EUR,Dinner,-16
Azerbaijan,EUR,Full Day,30
Azerbaijan,EUR,Part Day,20
Azerbaijan,EUR,Overnight,72
Azerbaijan,EUR,Breakfast,-6
Azerbaijan,EUR,Lunch,-12
Azerbaijan,EUR,Dinner,-12
Bahrain,EUR,Full Day,45
Bahrain,EUR,Part Day,30
Bahrain,EUR,Overnight,180
Bahrain,EUR,Breakfast,-9
Bahrain,EUR,Lunch,-18
Bahrain,EUR,Dinner,-18
Bangladesh,EUR,Full Day,30
Bangladesh,EUR,Part Day,20
Bangladesh,EUR,Overnight,111
Bangladesh,EUR,Breakfast,-6
Bangladesh,EUR,Lunch,-12
Bangladesh,EUR,Dinner,-12
Barbados,EUR,Full Day,52
Barbados,EUR,Part Day,35
Barbados,EUR,Overnight,165
Barbados,EUR,Breakfast,-10.4
Barbados,EUR,Lunch,-20.8
Barbados,EUR,Dinner,-20.8
Belarus,EUR,Full Day,20
Belarus,EUR,Part Day,13
Belarus,EUR,Overnight,98
Belarus,EUR,Breakfast,-4
Belarus,EUR,Lunch,-8
Belarus,EUR,Dinner,-8
Belgium,EUR,Full Day,42
Belgium,EUR,Part Day,28
Belgium,EUR,Overnight,135
Belgium,EUR,Breakfast,-8.4
Belgium,EUR,Lunch,-16.8
Belgium,EUR,Dinner,-16.8
Benin,EUR,Full Day,40
Benin,EUR,Part Day,27
Benin,EUR,Overnight,101
Benin,EUR,Breakfast,-8
Benin,EUR,Lunch,-16
Benin,EUR,Dinner,-16
Bolivia,EUR,Full Day,30
Bolivia,EUR,Part Day,20
Bolivia,EUR,Overnight,93
Bolivia,EUR,Breakfast,-6
Bolivia,EUR,Lunch,-12
Bolivia,EUR,Dinner,-12
Bosnia and Herzegovina,EUR,Full Day,18
Bosnia and Herzegovina,EUR,Part Day,12
Bosnia and Herzegovina,EUR,Overnight,73
Bosnia and Herzegovina,EUR,Breakfast,-3.6
Bosnia and Herzegovina,EUR,Lunch,-7.2
Bosnia and Herzegovina,EUR,Dinner,-7.2
Botswana,EUR,Full Day,40
Botswana,EUR,Part Day,27
Botswana,EUR,Overnight,102
Botswana,EUR,Breakfast,-8
Botswana,EUR,Lunch,-16
Botswana,EUR,Dinner,-16
Brazil - Brasilia,EUR,Full Day,57
Brazil - Brasilia,EUR,Part Day,38
Brazil - Brasilia,EUR,Overnight,127
Brazil - Brasilia,EUR,Breakfast,-11.4
Brazil - Brasilia,EUR,Lunch,-22.8
Brazil - Brasilia,EUR,Dinner,-22.8
Brazil - Rio de Janeiro,EUR,Full Day,57
Brazil - Rio de Janeiro,EUR,Part Day,38
Brazil - Rio de Janeiro,EUR,Overnight,145
Brazil - Rio de Janeiro,EUR,Breakfast,-11.4
Brazil - Rio de Janeiro,EUR,Lunch,-22.8
Brazil - Rio de Janeiro,EUR,Dinner,-22.8
Brazil - São Paulo,EUR,Full Day,53
Brazil - São Paulo,EUR,Part Day,36
Brazil - São Paulo,EUR,Overnight,132
Brazil - São Paulo,EUR,Breakfast,-10.6
Brazil - São Paulo,EUR,Lunch,-21.2
Brazil - São Paulo,EUR,Dinner,-21.2
Brazil - for the rest,EUR,Full Day,51
Brazil - for the rest,EUR,Part Day,34
Brazil - for the rest,EUR,Overnight,84
Brazil - for the rest,EUR,Breakfast,-10.2
Brazil - for the rest,EUR,Lunch,-20.4
Brazil - for the rest,EUR,Dinner,-20.4
Brunei,EUR,Full Day,48
Brunei,EUR,Part Day,32
Brunei,EUR,Overnight,106
Brunei,EUR,Breakfast,-9.6
Brunei,EUR,Lunch,-19.2
Brunei,EUR,Dinner,-19.2
Bulgaria,EUR,Full Day,22
Bulgaria,EUR,Part Day,15
Bulgaria,EUR,Overnight,90
Bulgaria,EUR,Breakfast,-4.4
Bulgaria,EUR,Lunch,-8.8
Bulgaria,EUR,Dinner,-8.8
Burkina Faso,EUR,Full Day,44
Burkina Faso,EUR,Part Day,29
Burkina Faso,EUR,Overnight,84
Burkina Faso,EUR,Breakfast,-8.8
Burkina Faso,EUR,Lunch,-17.6
Burkina Faso,EUR,Dinner,-17.6
Burundi,EUR,Full Day,47
Burundi,EUR,Part Day,32
Burundi,EUR,Overnight,98
Burundi,EUR,Breakfast,-9.4
Burundi,EUR,Lunch,-18.8
Burundi,EUR,Dinner,-18.8
Cambodia,EUR,Full Day,38
Cambodia,EUR,Part Day,25
Cambodia,EUR,Overnight,94
Cambodia,EUR,Breakfast,-7.6
Cambodia,EUR,Lunch,-15.2
Cambodia,EUR,Dinner,-15.2
Cameroon,EUR,Full Day,50
Cameroon,EUR,Part Day,33
Cameroon,EUR,Overnight,180
Cameroon,EUR,Breakfast,-10
Cameroon,EUR,Lunch,-20
Cameroon,EUR,Dinner,-20
Canada - Ottawa,EUR,Full Day,47
Canada - Ottawa,EUR,Part Day,32
Canada - Ottawa,EUR,Overnight,142
Canada - Ottawa,EUR,Breakfast,-9.4
Canada - Ottawa,EUR,Lunch,-18.8
Canada - Ottawa,EUR,Dinner,-18.8
Canada - Toronto,EUR,Full Day,51
Canada - Toronto,EUR,Part Day,34
Canada - Toronto,EUR,Overnight,161
Canada - Toronto,EUR,Breakfast,-10.2
Canada - Toronto,EUR,Lunch,-20.4
Canada - Toronto,EUR,Dinner,-20.4
Canada - Vancouver,EUR,Full Day,50
Canada - Vancouver,EUR,Part Day,33
Canada - Vancouver,EUR,Overnight,140
Canada - Vancouver,EUR,Breakfast,-10
Canada - Vancouver,EUR,Lunch,-20
Canada - Vancouver,EUR,Dinner,-20
Canada - for the rest,EUR,Full Day,47
Canada - for the rest,EUR,Part Day,32
Canada - for the rest,EUR,Overnight,134
Canada - for the rest,EUR,Breakfast,-9.4
Canada - for the rest,EUR,Lunch,-18.8
Canada - for the rest,EUR,Dinner,-18.8
Cape Verde,EUR,Full Day,30
Cape Verde,EUR,Part Day,20
Cape Verde,EUR,Overnight,105
Cape Verde,EUR,Breakfast,-6
