rateID,Destination,Subrate,Amount,Currency
5e6618c88c782,Albania,International,100,EUR
5e6618c88c788,Algeria,International,110,EUR
5e6618c88c78a,Angola,International,303,USD
5e6618c88c78b,Antigua and Barbuda,International,220,USD
5e6618c88c78d,Argentina,International,133,USD
5e6618c88c78e,Armenia,International,220,USD
5e6618c88c78f,Australia,International,230,AUD
5e6618c88c790,Austria,International,131,EUR
5e6618c88c792,Bahamas,International,191,USD
5e6618c88c793,Bahrain,International,36,BHD
5e6618c88c794,Bangladesh,International,79,USD
5e6618c88c795,Barbados,International,202,USD
5e6618c88c796,Belarus,International,62,EUR
5e6618c88c798,Belgium,International,146,EUR
5e6618c88c799,Belize,International,152,USD
5e6618c88c79a,Benin,International,111,EUR
5e6618c88c79b,Bolivia,International,78,USD
5e6618c88c79c,Bosnia-Herzegovina,International,75,EUR
5e6618c88c79d,Botswana,International,826,BWP
5e6618c88c79e,Brazil,International,409,BRL
5e6618c88c79f,Brunei,International,88,USD
5e6618c88c7a0,Bulgaria,International,91,EUR
5e6618c88c7a1,Burkina Faso,International,"58,790.00",XAF
5e6618c88c7a3,Burundi,International,73,EUR
5e6618c88c7a4,Cambodia,International,99,USD
5e6618c88c7a5,Cameroon,International,120,EUR
5e6618c88c7a6,Cape Verde Islands,International,65,EUR
5e6618c88c7a7,Central African Republic,International,94,EUR
5e6618c88c7a9,Chad,International,121,EUR
5e6618c88c7aa,Chile,International,106,USD
5e6618c88c7af,China (People's Republic),International,127,USD
5e6618c88c7b0,Colombia,International,94,USD
5e6618c88c7b1,Comoro Island,International,122,EUR
5e6618c88c7b2,Cook Islands,International,211,NZD
5e6618c88c7b3,Costa Rica,International,116,USD
5e6618c88c7b4,Cote D'Ivoire,International,119,EUR
5e6618c88c7b6,Croatia,International,99,EUR
5e6618c88c7b7,Cuba,International,114,USD
5e6618c88c7b8,Cyprus,International,117,EUR
5e6618c88c7b9,Czech Republic,International,90,EUR
5e6618c88c7ba,Democratic Republic of Congo,International,164,USD
5e6618c88c7bb,Denmark,International,"2,328.00",DKK
5e6618c88c7bc,Djibouti,International,99,USD
5e6618c88c7bd,Dominican Republic,International,99,USD
5e6618c88c7be,Ecuador,International,163,USD
5e6618c88c7bf,Egypt,International,873,USD
5e6618c88c7c0,El Salvador,International,98,USD
5e6618c88c7c1,Equatorial Guinea,International,166,EUR
5e6618c88c7c2,Eritrea,International,109,USD
5e6618c88c7c3,Estonia,International,92,EUR
5e6618c88c7c4,Ethiopia,International,95,USD
5e6618c88c7c5,Fiji,International,102,USD
5e6618c88c7c6,Finland,International,171,EUR
5e6618c88c7c7,France,International,129,EUR
5e6618c88c7c8,Gabon,International,160,EUR
5e6618c88c7c9,Gambia,International,74,EUR
5e6618c88c7ca,Georgia,International,95,USD
5e6618c88c7cb,Germany,International,125,EUR
5e6618c88c7cc,Ghana,International,130,USD
5e6618c88c7cd,Greece,International,138,EUR
5e6618c88c7ce,Grenada,International,151,USD
5e6618c88c7cf,Guatemala,International,114,USD
5e6618c88c7d0,Guinea,International,78,EUR
5e6618c88c7d1,Guinea Bissau,International,59,EUR
5e6618c88c7d2,Guyana,International,118,USD
5e6618c88c7d3,Haiti,International,109,USD
5e6618c88c7d4,Honduras,International,186,USD
5e6618c88c7d5,Hong Kong,International,"1,000.00",HKD
5e6618c88c7d6,Hungary,International,92,EUR
5e6618c88c7d7,Iceland,International,"25,466.00",ISK
5e6618c88c7d8,India,International,"5,852.00",INR
5e6618c88c7d9,Indonesia,International,86,USD
5e6618c88c7da,Iran,International,120,USD
5e6618c88c7db,Iraq,International,125,USD
5e6618c88c7dc,Ireland,International,139,EUR
5e6618c88c7dd,Israel,International,209,USD
5e6618c88c7e1,Italy,International,125,EUR
5e6618c88c7e3,Jamaica,International,151,USD
5e6618c88c7e4,Japan,International,"16,275.00",JPY
5e6618c88c7e5,Jordan,International,201,USD
5e6618c88c7e6,Kazakhstan,International,100,USD
5e6618c88c7e7,Kenya,International,138,USD
5e6618c88c7e8,Kiribati,International,233,AUD
5e6618c88c7e9,Kuwait (State of),International,51,KWD
5e6618c88c7ea,Kyrgyzstan,International,172,USD
5e6618c88c7eb,Laos,International,92,USD
5e6618c88c7ec,Latvia,International,150,USD
5e6618c88c7ed,Lebanon,International,158,USD
5e6618c88c7ee,Lesotho,International,750,ZAR
5e6618c88c7ef,Liberia,International,112,USD
5e6618c88c7f0,Libya,International,120,USD
5e6618c88c7f1,Lithuania,International,154,EUR
5e6618c88c7f2,Macedonia (Former Yugoslav),International,100,EUR
5e6618c88c7f3,Madagascar,International,58,EUR
5e6618c88c7f4,Malawi,International,"31,254.00",MWK
5e6618c88c7f5,Malaysia,International,382,MYR
5e6618c88c7f6,Maldives,International,202,USD
5e6618c88c7f7,Mali,International,178,EUR
5e6618c88c7f8,Malta,International,132,EUR
5e6618c88c7f9,Marshall Islands,International,255,USD
5e6618c88c7fa,Mauritania,International,97,EUR
5e6618c88c7fb,Mauritius,International,114,USD
5e6618c88c7fc,Mexico,International,"1,313.00",MXN
5e6618c88c7fd,Moldova,International,117,USD
5e6618c88c7fe,Mongolia,International,69,USD
5e6618c88c7ff,Montenegro,International,94,EUR
5e6618c88c800,Morocco,International,"1,081.00",AED
5e6618c88c801,Mozambique,International,101,USD
5e6618c88c802,Myanmar,International,123,USD
5e6618c88c803,Namibia,International,950,ZAR
5e6618c88c804,Nauru,International,278,AUD
5e6618c88c805,Nepal,International,64,USD
5e6618c88c806,Netherlands,International,122,EUR
5e6618c88c807,New Zealand,International,206,NZD
5e6618c88c808,Nicaragua,International,90,USD
5e6618c88c809,Niger,International,75,EUR
5e6618c88c80a,Nigeria,International,242,USD
5e6618c88c80b,Niue,International,252,NZD
5e6618c88c80c,Norway,International,"1,760.00",NOK
5e6618c88c80d,Oman,International,77,OMR
5e6618c88c80e,Pakistan,International,"6,235.00",PKR
5e6618c88c80f,Palau,International,252,USD
5e6618c88c810,Palestine,International,147,USD
5e6618c88c811,Panama,International,105,USD
5e6618c88c812,Papa New Guinea,International,285,PGK
5e6618c88c813,Paraguay,International,76,USD
5e6618c88c815,Peru,International,139,USD
5e6618c88c816,Philippines,International,122,USD
5e6618c88c817,Poland,International,88,EUR
5e6618c88c818,Portugal,International,87,EUR
5e6618c88c819,Puerto Rico,International,215,USD
5e6618c88c81a,Qatar,International,715,QAR
5e6618c88c81b,Republic of Congo,International,149,EUR
5e6618c88c81c,Reunion,International,164,EUR
5e6618c88c81d,Romania,International,83,EUR
5e6618c88c81e,Russia,International,330,EUR
5e6618c88c81f,Rwanda,International,102,USD
5e6618c88c823,Samoa,International,193,WST
5e6618c88c825,Sao Tome & Principe,International,160,EUR
5e6618c88c826,Saudi Arabia,International,512,SAR
5e6618c88c827,Senegal,International,113,EUR
5e6618c88c829,Serbia,International,83,EUR
5e6618c88c82a,Seychelles,International,132,EUR
5e6618c88c82c,Sierra Leone,International,90,USD
5e6618c88c83b,Slovakia,International,102,EUR
5e6618c88c83c,Slovenia,International,106,EUR
5e6618c88c83d,Solomon Islands,International,"1,107.00",SBD
5e6618c88c83e,South Korea Republic,International,"187,735.00",KRW
5e6618c88c840,South Sudan,International,146,USD
5e6618c88c841,Spain,International,112,EUR
5e6618c88c842,Sri Lanka,International,100,USD
5e6618c88c843,St. Kitts & Nevis,International,227,USD
5e6618c88c844,St. Lucia,International,215,USD
5e6618c88c845,St. Vincent & The Grenadines,International,187,USD
5e6618c88c846,Sudan,International,200,USD
5e6618c88c847,Suriname,International,107,USD
5e6618c88c848,Swaziland,International,"1,367.00",ZAR
5e6618c88c849,Sweden,International,"1,317.00",SEK
5e6618c88c84a,Switzerland,International,201,CHF
5e6618c88c84b,Syria,International,185,USD
5e6618c88c84c,Taiwan,International,"3,505.00",TWD
5e6618c88c84d,Tajikistan,International,97,USD
5e6618c88c84e,Tanzania,International,129,USD
5e6618c88c84f,Togo,International,"64,214.00",XAF
5e6618c88c850,Tonga,International,251,TOP
5e6618c88c851,Trinidad & Tobago,International,213,USD
5e6618c88c852,Tunisia,International,198,TND
5e6618c88c853,Turkey,International,101,EUR
5e6618c88c854,Turkmenistan,International,125,USD
5e6618c88c855,Tuvalu,International,339,AUD
5e6618c88c856,USA,International,215,USD
5e6618c88c857,Uganda,International,111,USD
5e6618c88c858,Ukraine,International,131,EUR
5e6618c88c859,Unit Kingdom - Fiber Lean,International,40,GBP
5e6618c88c85a,United Arab Emirates,International,699,AED
5e6618c88c85e,United Kingdom,International,102,GBP
5e6618c88c860,Uruguay,International,133,USD
5e6618c88c861,Uzbekistan,International,80,EUR
5e6618c88c863,Vanuatu,International,166,USD
5e6618c88c864,Venezuela,International,294,USD
5e6618c88c865,Vietnam,International,91,USD
5e6618c88c866,Yemen,International,94,USD
5e6618c88c867,Zambia,International,119,USD
5e6618c88c868,Zimbabwe,International,123,USD
5e6618c88c8a4,South Africa,Local,452,ZAR
