Destination,Currency,Subrate,Amount
Albanien (2018),SEK,Normalbelopp,230
Albanien (2018),SEK,Breakfast,-34.5
Albanien (2018),SEK,Lunch,-80.5
Albanien (2018),SEK,Dinner,-80.5
Albanien (2019),SEK,Normalbelopp,242
Albanien (2019),SEK,Breakfast,-36.3
Albanien (2019),SEK,Lunch,-84.7
Albanien (2019),SEK,Dinner,-84.7
Albanien (2020),SEK,Normalbelopp,254
Albanien (2020),SEK,Breakfast,-38.1
Albanien (2020),SEK,Lunch,-88.9
Albanien (2020),SEK,Dinner,-88.9
Algeriet (2018),SEK,Normalbelopp,335
Algeriet (2018),SEK,Breakfast,-50.25
Algeriet (2018),SEK,Lunch,-117.25
Algeriet (2018),SEK,Dinner,-117.25
Algeriet (2019),SEK,Normalbelopp,362
Algeriet (2019),SEK,Breakfast,-54.3
Algeriet (2019),SEK,Lunch,-126.7
Algeriet (2019),SEK,Dinner,-126.7
Algeriet (2020),SEK,Normalbelopp,378
Algeriet (2020),SEK,Breakfast,-56.7
Algeriet (2020),SEK,Lunch,-132.3
Algeriet (2020),SEK,Dinner,-132.3
Angola (2018),SEK,Normalbelopp,937
Angola (2018),SEK,Breakfast,-140.55
Angola (2018),SEK,Lunch,-327.95
Angola (2018),SEK,Dinner,-327.95
Angola (2019),SEK,Normalbelopp,567
Angola (2019),SEK,Breakfast,-85.05
Angola (2019),SEK,Lunch,-198.45
Angola (2019),SEK,Dinner,-198.45
Angola (2020),SEK,Normalbelopp,346
Angola (2020),SEK,Breakfast,-51.9
Angola (2020),SEK,Lunch,-121.1
Angola (2020),SEK,Dinner,-121.1
Antigua och Barbuda (2018),SEK,Normalbelopp,613
Antigua och Barbuda (2018),SEK,Breakfast,-91.95
Antigua och Barbuda (2018),SEK,Lunch,-214.55
Antigua och Barbuda (2018),SEK,Dinner,-214.55
Antigua och Barbuda (2019),SEK,Normalbelopp,670
Antigua och Barbuda (2019),SEK,Breakfast,-100.5
Antigua och Barbuda (2019),SEK,Lunch,-234.5
Antigua och Barbuda (2019),SEK,Dinner,-234.5
Antigua och Barbuda (2020),SEK,Normalbelopp,697
Antigua och Barbuda (2020),SEK,Breakfast,-104.55
Antigua och Barbuda (2020),SEK,Lunch,-243.95
Antigua och Barbuda (2020),SEK,Dinner,-243.95
Argentina (2018),SEK,Normalbelopp,454
Argentina (2018),SEK,Breakfast,-68.1
Argentina (2018),SEK,Lunch,-158.9
Argentina (2018),SEK,Dinner,-158.9
Argentina (2019),SEK,Normalbelopp,276
Argentina (2019),SEK,Breakfast,-41.4
Argentina (2019),SEK,Lunch,-96.6
Argentina (2019),SEK,Dinner,-96.6
Argentina (2020),SEK,Normalbelopp,240
Argentina (2020),SEK,Breakfast,-36
Argentina (2020),SEK,Lunch,-84
Argentina (2020),SEK,Dinner,-84
Armenien (2018),SEK,Normalbelopp,313
Armenien (2018),SEK,Breakfast,-46.95
Armenien (2018),SEK,Lunch,-109.55
Armenien (2018),SEK,Dinner,-109.55
Armenien (2019),SEK,Normalbelopp,329
Armenien (2019),SEK,Breakfast,-49.35
Armenien (2019),SEK,Lunch,-115.15
Armenien (2019),SEK,Dinner,-115.15
Armenien (2020),SEK,Normalbelopp,358
Armenien (2020),SEK,Breakfast,-53.7
Armenien (2020),SEK,Lunch,-125.3
Armenien (2020),SEK,Dinner,-125.3
Australien (2018),SEK,Normalbelopp,683
Australien (2018),SEK,Breakfast,-102.45
Australien (2018),SEK,Lunch,-239.05
Australien (2018),SEK,Dinner,-239.05
Australien (2019),SEK,Normalbelopp,685
Australien (2019),SEK,Breakfast,-102.75
Australien (2019),SEK,Lunch,-239.75
Australien (2019),SEK,Dinner,-239.75
Australien (2020),SEK,Normalbelopp,697
Australien (2020),SEK,Breakfast,-104.55
Australien (2020),SEK,Lunch,-243.95
Australien (2020),SEK,Dinner,-243.95
Azerbajdzjan (2018),SEK,Normalbelopp,322
Azerbajdzjan (2018),SEK,Breakfast,-48.3
Azerbajdzjan (2018),SEK,Lunch,-112.7
Azerbajdzjan (2018),SEK,Dinner,-112.7
Azerbajdzjan (2019),SEK,Normalbelopp,345
Azerbajdzjan (2019),SEK,Breakfast,-51.75
Azerbajdzjan (2019),SEK,Lunch,-120.75
Azerbajdzjan (2019),SEK,Dinner,-120.75
Azerbajdzjan (2020),SEK,Normalbelopp,359
Azerbajdzjan (2020),SEK,Breakfast,-53.85
Azerbajdzjan (2020),SEK,Lunch,-125.65
Azerbajdzjan (2020),SEK,Dinner,-125.65
Bahamas (2018),SEK,Normalbelopp,797
Bahamas (2018),SEK,Breakfast,-119.55
Bahamas (2018),SEK,Lunch,-278.95
Bahamas (2018),SEK,Dinner,-278.95
Bahamas (2019),SEK,Normalbelopp,878
Bahamas (2019),SEK,Breakfast,-131.7
Bahamas (2019),SEK,Lunch,-307.3
Bahamas (2019),SEK,Dinner,-307.3
Bahamas (2020),SEK,Normalbelopp,953
Bahamas (2020),SEK,Breakfast,-142.95
Bahamas (2020),SEK,Lunch,-333.55
Bahamas (2020),SEK,Dinner,-333.55
Bahrain (2018),SEK,Normalbelopp,581
Bahrain (2018),SEK,Breakfast,-87.15
Bahrain (2018),SEK,Lunch,-203.35
Bahrain (2018),SEK,Dinner,-203.35
Bahrain (2019),SEK,Normalbelopp,661
